iter	Logloss
0	0.6090524607
1	0.5403769974
2	0.4808194307
3	0.4295570461
4	0.3868152935
5	0.3496134906
6	0.3176466566
7	0.2889653334
8	0.265528223
9	0.2459118676
10	0.2280684431
11	0.2126944572
12	0.200081712
13	0.1886619922
14	0.1780489444
15	0.1699878363
16	0.1626950597
17	0.1561217696
18	0.1505494705
19	0.1453028346
20	0.1401946584
21	0.1364250542
22	0.1332040236
23	0.1302017045
24	0.1271750883
25	0.1249863936
26	0.1226675055
27	0.1209497523
28	0.1191960693
29	0.117950459
30	0.1161336945
31	0.1148603446
32	0.11350915
33	0.1121317078
34	0.1111184515
35	0.1102448391
36	0.1093344471
37	0.1087146466
38	0.1079472894
39	0.1071938694
40	0.1065315961
41	0.1059602784
42	0.1052011996
43	0.1045987879
44	0.1042551086
45	0.1037357819
46	0.1031616662
47	0.1027146472
48	0.1022497987
49	0.1018417788
50	0.1014929557
51	0.1011524558
52	0.1008105032
53	0.1004243236
54	0.1000553572
55	0.09983625605
56	0.09951687621
57	0.09929398545
58	0.0990290805
59	0.09880649183
60	0.09850680377
61	0.09831968647
62	0.09808050297
63	0.09786767771
64	0.09762857898
65	0.09743677088
66	0.09726931688
67	0.09710649076
68	0.09689105791
69	0.09672474176
70	0.09652140578
71	0.0963655343
72	0.09619769944
73	0.0960553677
74	0.09592016111
75	0.09580393734
76	0.09565695338
77	0.09548888411
78	0.09536267176
79	0.0951918193
80	0.09509953683
81	0.09497196916
82	0.09485491302
83	0.09469300471
84	0.0945410319
85	0.09444033995
86	0.0943313714
87	0.0941782604
88	0.09401781475
89	0.09387089528
90	0.09371330002
91	0.0935982198
92	0.09346579436
93	0.09332383882
94	0.09322662387
95	0.09310168242
96	0.09300188085
97	0.09290067877
98	0.0927646986
99	0.09265511946
100	0.09249466627
101	0.09238143223
102	0.0922668562
103	0.09212518806
104	0.09204349862
105	0.09193066179
106	0.0918449914
107	0.09174362229
108	0.09160950377
109	0.09146202879
110	0.09138362129
111	0.09127457344
112	0.09119816769
113	0.09108046876
114	0.09099798506
115	0.09091651738
116	0.09079684673
117	0.09069995407
118	0.09053390828
119	0.09041205078
120	0.09028850009
121	0.09020316487
122	0.09004215624
123	0.08995094451
124	0.0898374962
125	0.0897646658
126	0.08970148541
127	0.08952223774
128	0.08943874317
129	0.08938168933
130	0.08929650361
131	0.08919206169
132	0.0891036758
133	0.08899479991
134	0.08891935837
135	0.08886657677
136	0.08881875488
137	0.08873510122
138	0.08864996292
139	0.08858304583
140	0.08849896103
141	0.08833580066
142	0.08826465674
143	0.08819436748
144	0.08813933325
145	0.08806436979
146	0.08801816984
147	0.08795431115
148	0.08789756056
149	0.08781442117
150	0.08774704678
151	0.08770138792
152	0.08765447447
153	0.08759814024
154	0.08752023902
155	0.08743630031
156	0.08737430476
157	0.08730583508
158	0.08721198606
159	0.08714116298
160	0.08706347078
161	0.08695038667
162	0.08691373822
163	0.08682564094
164	0.08675223632
165	0.0866926048
166	0.08658499411
167	0.08651061762
168	0.0864712186
169	0.08641627683
170	0.08635014473
171	0.08627552776
172	0.08622910197
173	0.08614017605
174	0.08605828183
175	0.0860147574
176	0.08596543502
177	0.08593892941
178	0.0858048605
179	0.08573663492
180	0.08565675067
181	0.08556052634
182	0.08550875437
183	0.08546788091
184	0.08540742917
185	0.08535833615
186	0.08530172734
187	0.08525476835
188	0.08520714611
189	0.08515927966
190	0.0850615786
191	0.08498750926
192	0.08494086533
193	0.08489180898
194	0.08479774109
195	0.08473383372
196	0.08461466439
197	0.08455192107
198	0.08449871723
199	0.0844401265
200	0.08441558636
201	0.0843255061
202	0.08427596373
203	0.08421418885
204	0.08414210334
205	0.08408417816
206	0.08400610843
207	0.08394614561
208	0.08385519121
209	0.08380794189
210	0.08378451723
211	0.08374342184
212	0.08368820646
213	0.08362960749
214	0.08359393189
215	0.0835339523
216	0.08349351375
217	0.0834574376
218	0.08340161522
219	0.08335170627
220	0.08332212422
221	0.08326838749
222	0.08323824098
223	0.08316631582
224	0.08313195516
225	0.08307503688
226	0.08297523933
227	0.08292285754
228	0.08283843433
229	0.08279117488
230	0.08277586401
231	0.08269833597
232	0.08265332472
233	0.08260643356
234	0.08256605889
235	0.08254503116
236	0.08247804831
237	0.0824448872
238	0.08239461239
239	0.08234231728
240	0.08230418677
241	0.08226397882
242	0.08221824369
243	0.08213045533
244	0.08208514623
245	0.08202957693
246	0.08198973199
247	0.08192817971
248	0.08189309466
249	0.08186537936
250	0.08181285131
251	0.08175583416
252	0.08173297881
253	0.08167826332
254	0.08164299871
255	0.08161638167
256	0.0815251049
257	0.08149722709
258	0.08144579176
259	0.08139080319
260	0.08133630256
261	0.08128772971
262	0.08121844697
263	0.0811694569
264	0.08111110775
265	0.08102575434
266	0.08095615542
267	0.08090263843
268	0.0808426807
269	0.08077991261
270	0.08070236212
271	0.08060592149
272	0.08057025971
273	0.08051755519
274	0.08048705186
275	0.08041500887
276	0.08036926637
277	0.08032585681
278	0.08029166447
279	0.08023064658
280	0.08017692727
281	0.08011601202
282	0.08008191989
283	0.08005236905
284	0.07998270981
285	0.07995883708
286	0.07994167437
287	0.07989539472
288	0.07985556917
289	0.07980321815
290	0.07977704685
291	0.07971955518
292	0.07969268257
293	0.07964926393
294	0.07959354344
295	0.07954779635
296	0.07951773615
297	0.07948741433
298	0.07945376772
299	0.07942684434
